Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Compound Name,Compound PubChem CID,Compound InChIKey,Compound SMILES,Proprietary Compound,Proprietary Compound Concentration (microMolar),Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Comment [Control Type Comments],Channels,Score,Has Phenotype,Phenoptye Annotation Level,Phenotype,Phenotype Term Name,Phenotype Term Accession
1093670873,A1,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,DMSO,679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,,,,,Neutral Control,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,82.69949341,,,,,
1093670873,A2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,,,,,Stimulator Control,Leptomycin b blocks nuclear export of fascin,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,634.9001465,,,,,
1093670873,A3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,DMSO,679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,,,,,Neutral Control,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,95.16107941,,,,,
1093670873,A4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,30,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,1418.350464,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,10,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,1490.268311,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,3.125,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,1411.853271,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,1.25,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,1535.597168,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A8,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,0.3,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,868.4274902,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A9,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,0.1,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,198.8613129,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A10,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,0.03,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,124.776474,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
1093670873,A11,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa - mScarlet-fascin/fascin KD,,,,,SN1070008356,0.0125,5127,CDK16,,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet; phase contrast,120.5510559,Yes,compound response across 12 wells,Apoptosis,cell apoptosis phenotype,CMPO_0000220
